Run,Surface,Tile,Tile_38,Average_A,Stdv_A,Average_0,Stdv_0,Average_2,Stdv_2,Average_3,Stdv_3,Average_4,Stdv_4,Average_5,Stdv_5,Average_1,Stdv_1
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Bottom,13,32,58,41.994708661396324,0,0.0,90,3.5624932315291997,94,1.4861038998325096,88,4.90079090344507,95,0.6674207294194946,93,1.678558399055505
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Bottom,14,33,56,40.89281382128433,0,0.0,90,3.4178583689064674,94,1.5643490431068798,88,5.044183480232308,95,0.8135342252895814,93,1.714938800413367
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Bottom,15,34,57,41.36289265620683,0,0.0,89,4.008564219970055,93,1.671187284841256,87,5.650574668371371,95,0.8201844794636759,93,1.9862352115247293
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Bottom,16,35,57,41.04469108991645,0,0.0,89,4.725670491181209,93,1.7316547744534756,87,5.931188252183557,95,0.8473322447548884,93,2.015032667960807
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Bottom,17,36,57,41.04469108991645,0,0.0,89,4.499657051403686,93,1.8174583920570808,87,5.765768191684147,95,0.6460521893910203,93,2.4883817825541965
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Bottom,18,37,57,41.04469108991645,0,0.0,90,3.863231054934903,93,1.671187284841256,88,4.94959803520035,95,0.7647745002387841,93,2.0813364915892025
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Bottom,19,38,58,41.875476780038646,0,0.0,91,3.175696460774225,94,1.2483184849150162,89,4.651779579304877,95,0.5621210558988471,93,1.9116278371205835
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Top,1,1,57,40.65300316909769,4,14.373989364401723,84,5.335904729911705,88,4.746524249955791,86,5.011967925396879,93,0.861110908291407,90,3.034777840832814
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Top,2,2,57,41.12041936664665,0,0.0,84,5.525349984880449,88,4.833014037984787,86,5.127371727152457,93,0.8062678860211241,90,3.0729582981765247
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Top,3,3,55,39.96943276499625,4,14.373989364401723,82,6.624144223528161,87,5.525349984880449,84,6.021165823146086,92,1.0029381914376747,89,3.3399112052134803
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Top,4,4,56,40.13311184877976,9,28.747978728803446,82,5.908771466803703,88,4.844353833108875,84,5.75138264827371,93,1.0915536458196307,89,3.1207962122875403
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Top,5,5,57,40.76763422127902,9,28.747978728803446,83,5.73727493947593,88,4.950232428623296,85,5.153846153846153,93,1.0024867225012548,89,3.316417986003501
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Top,6,6,56,40.47495796442811,9,28.747978728803446,83,5.772314606135783,88,4.784233364802441,86,5.0331739724240006,93,0.9524693313021018,90,3.173103702311688
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Top,7,7,57,40.94169295745136,4,14.373989364401723,84,5.836830227582788,88,4.75345517248428,86,5.076923076923077,93,0.9279132973343204,90,3.2143368820366125
180412_M05952_0002_000000000-BMLW7_SubTile%PF.csv,Top,8,8,56,40.30164044083345,0,0.0,81,7.091601323244727,88,4.971799761348099,83,6.012314778359732,92,1.2240978607355342,90,3.018461712712472
